keys,en,zh,_info
dtbarrier,barrier,屏障,
dtnature,nature,自然,
dtwither,wither,凋零,
dttimespace,timespace,时空,
dtfantasy,fantasy,幻境,
dtpoison,poison,毒素,
dtsonic,sonic,音波,
dtfate,fate,命运,
dtmind,mind,心灵,
smStart,Start,开始游戏,
smLoad,Load,读取存档,
smQuit,Quit,退出游戏,
smContinue,Continue,继续游戏,
smOptions,Options,选项,
smRestart,Restart,重新开始,
smBack,Back,返回,
smChoosePlayer,Choose Player,选择自机,
smChooseScene,Choose Scene,选择场景,
smInitsg,Start Skill Group,初始技能组,
